Population ages 0-14 (% of total population),France,2022,17.1990019346205,"total, 0-14"
Population ages 0-14 (% of total population),France,2021,17.3733753734071,"total, 0-14"
Population ages 0-14 (% of total population),France,2020,17.5521513606696,"total, 0-14"
Population ages 0-14 (% of total population),France,2019,17.701688275741,"total, 0-14"
Population ages 0-14 (% of total population),France,2018,17.8354138790437,"total, 0-14"
Population ages 0-14 (% of total population),France,2017,17.956176677331,"total, 0-14"
Population ages 0-14 (% of total population),France,2016,18.0745056692548,"total, 0-14"
Population ages 0-14 (% of total population),France,2015,18.1869331011056,"total, 0-14"
Population ages 0-14 (% of total population),France,2014,18.2645944531063,"total, 0-14"
Population ages 0-14 (% of total population),France,2013,18.3056628243576,"total, 0-14"
Population ages 0-14 (% of total population),France,2012,18.3159073066943,"total, 0-14"
Population ages 0-14 (% of total population),France,2011,18.3117703431249,"total, 0-14"
Population ages 0-14 (% of total population),France,2010,18.3030070494363,"total, 0-14"
Population ages 0-14 (% of total population),France,2009,18.2746105151191,"total, 0-14"
Population ages 0-14 (% of total population),France,2008,18.2416249870445,"total, 0-14"
Population ages 0-14 (% of total population),France,2007,18.2462921051593,"total, 0-14"
Population ages 0-14 (% of total population),France,2006,18.2884889234338,"total, 0-14"
Population ages 0-14 (% of total population),France,2005,18.3477861733763,"total, 0-14"
Population ages 0-14 (% of total population),France,2004,18.4243391917787,"total, 0-14"
Population ages 0-14 (% of total population),France,2003,18.5040970931324,"total, 0-14"
Population ages 0-14 (% of total population),France,2002,18.5802717763657,"total, 0-14"
Population ages 0-14 (% of total population),France,2001,18.6538658604504,"total, 0-14"
Population ages 0-14 (% of total population),France,2000,18.7152735358576,"total, 0-14"
Population ages 0-14 (% of total population),France,1999,18.7750547502847,"total, 0-14"
Population ages 0-14 (% of total population),France,1998,18.8478591066208,"total, 0-14"
Population ages 0-14 (% of total population),France,1997,18.9774572813202,"total, 0-14"
Population ages 0-14 (% of total population),France,1996,19.1709896666928,"total, 0-14"
Population ages 0-14 (% of total population),France,1995,19.3770348402937,"total, 0-14"
Population ages 0-14 (% of total population),France,1994,19.5728147397073,"total, 0-14"
Population ages 0-14 (% of total population),France,1993,19.7406807651135,"total, 0-14"
Population ages 0-14 (% of total population),France,1992,19.8794482587662,"total, 0-14"
Population ages 0-14 (% of total population),France,1991,19.9745554856261,"total, 0-14"
Population ages 0-14 (% of total population),France,1990,20.0577502694109,"total, 0-14"
Population ages 0-14 (% of total population),France,1989,20.2024076984867,"total, 0-14"
Population ages 0-14 (% of total population),France,1988,20.4267000379895,"total, 0-14"
Population ages 0-14 (% of total population),France,1987,20.7144171230411,"total, 0-14"
Population ages 0-14 (% of total population),France,1986,21.0200308592999,"total, 0-14"
Population ages 0-14 (% of total population),France,1985,21.29332116767,"total, 0-14"
Population ages 0-14 (% of total population),France,1984,21.5389261121683,"total, 0-14"
Population ages 0-14 (% of total population),France,1983,21.7728375603489,"total, 0-14"
Population ages 0-14 (% of total population),France,1982,21.9763425925125,"total, 0-14"
Population ages 0-14 (% of total population),France,1981,22.1641726346767,"total, 0-14"
Population ages 0-14 (% of total population),France,1980,22.3715577533756,"total, 0-14"
Population ages 0-14 (% of total population),France,1979,22.6298928415577,"total, 0-14"
Population ages 0-14 (% of total population),France,1978,22.9420622642738,"total, 0-14"
Population ages 0-14 (% of total population),France,1977,23.2438786245753,"total, 0-14"
Population ages 0-14 (% of total population),France,1976,23.5436898386704,"total, 0-14"
Population ages 0-14 (% of total population),France,1975,23.8386527138307,"total, 0-14"
Population ages 0-14 (% of total population),France,1974,24.0783842710711,"total, 0-14"
Population ages 0-14 (% of total population),France,1973,24.2465285735584,"total, 0-14"
Population ages 0-14 (% of total population),France,1972,24.3560994147824,"total, 0-14"
Population ages 0-14 (% of total population),France,1971,24.4435555459378,"total, 0-14"
Population ages 0-14 (% of total population),France,1970,24.5493795259369,"total, 0-14"
Population ages 0-14 (% of total population),France,1969,24.6807493090679,"total, 0-14"
Population ages 0-14 (% of total population),France,1968,24.8193392916794,"total, 0-14"
Population ages 0-14 (% of total population),France,1967,24.9841411116096,"total, 0-14"
Population ages 0-14 (% of total population),France,1966,25.1644582970309,"total, 0-14"
Population ages 0-14 (% of total population),France,1965,25.3576975396534,"total, 0-14"
Population ages 0-14 (% of total population),France,1964,25.5786142597454,"total, 0-14"
Population ages 0-14 (% of total population),France,1963,25.8017368025271,"total, 0-14"
Population ages 0-14 (% of total population),France,1962,26.0358245787317,"total, 0-14"
Population ages 0-14 (% of total population),France,1961,26.2584522516185,"total, 0-14"
Population ages 0-14 (% of total population),France,1960,26.2392280261041,"total, 0-14"
